label,result,vertices,edges,runtime
328,sat,9,9,"1.8252242999999453
"
329,sat,9,8,"1.714072299999998
"
330,sat,4,4,"1.5376211999999896
"
331,sat,6,5,"1.6116011000000299
"
332,sat,7,5,"1.5905605000000378
"
333,sat,9,10,"1.7368349000000762
"
334,sat,7,6,"1.5874476000000186
"
335,sat,9,9,"1.7243793000000096
"
336,sat,10,13,"1.9531643999999915
"
337,sat,7,7,"1.5723471000000018
"
338,sat,9,9,"1.959171099999935
"
339,sat,7,7,"1.780053100000032
"
340,sat,8,9,"1.728275300000064
"
341,sat,9,12,"1.9012658999999985
"
342,sat,5,3,"1.6059461999999485
"
343,sat,6,6,"1.6896286000001055
"
344,sat,5,4,"1.549165099999982
"
345,sat,7,6,"1.650539399999957
"
346,sat,6,6,"1.607416300000068
"
347,sat,5,5,"1.6323077000000694
"
348,sat,5,4,"1.77032870000005
"
349,sat,8,9,"1.9319167999999536
"
350,sat,7,7,"1.5933028000000604
"
351,sat,6,6,"1.6671928000000662
"
352,sat,7,7,"1.6603860999999824
"
353,sat,7,5,"1.636665100000073
"
354,sat,8,8,"1.7523850000000039
"
355,sat,9,11,"1.7592701999999463
"
356,sat,7,7,"1.7546065000000226
"
357,sat,6,5,"1.6810878000000002
"
358,sat,6,7,"1.5919397999999774
"
359,sat,7,8,"1.5710540000000037
"
360,sat,8,9,"1.8196664000000737
"
361,sat,6,6,"1.6114220000000614
"
362,sat,9,12,"1.898722600000042
"
363,sat,8,10,"1.9509784000000536
"
364,sat,6,6,"1.7404384000000164
"
365,sat,6,6,"1.6938736000000745
"
366,sat,6,5,"1.6926784999999427
"
367,sat,8,8,"1.8006804999999986
"
368,sat,8,9,"1.861091999999985
"
369,sat,9,12,"2.0482054999999946
"
370,sat,5,6,"1.639201899999989
"
371,sat,7,8,"1.6732273000000077
"
372,sat,6,6,"1.6560637999999699
"
373,sat,6,7,"1.667572699999937
"
374,sat,8,9,"1.8282425999999532
"
375,sat,7,8,"1.7557947999999897
"
376,sat,9,11,"1.9063658999999689
"
377,sat,8,8,"1.8097781999999825
"
378,sat,10,12,"2.0015826999999717
"
379,sat,7,9,"1.8375586000000794
"
380,sat,9,11,"1.9076926999999841
"
381,sat,7,6,"1.676207599999998
"
382,sat,7,8,"1.878916600000025
"
383,sat,8,11,"1.823869899999977
"
384,sat,8,10,"1.870251200000098
"
385,sat,8,9,"1.9277854000000616
"
386,sat,8,7,"1.9268160999999964
"
387,sat,8,8,"1.9902185999999347
"
388,sat,10,12,"2.0616093000001
"
389,sat,9,12,"1.9060193000000254
"
390,sat,8,6,"1.905475000000024
"
391,sat,8,8,"1.9534199999999373
"
392,sat,9,11,"2.086090399999989
"
393,sat,8,5,"1.797939499999984
"
394,sat,6,4,"1.782126700000049
"
395,sat,8,8,"1.8420740999999907
"
