graphs_name,embeddability,embeddability_bool
MoD@O_C?@`ha?s_W_,13-grid embeddable,sat
MoD@O_C?@aha?k_W_,embeddable,sat
MoD@OoEKAGO??F?X_,9-grid embeddable,sat
MoD@OoEKAGO??R?L_,9-grid embeddable,sat
MoD@OoSHACO??J?T_,5-grid embeddable,sat
MoD@S?O@?BbGHDOi?,13-grid embeddable,sat
MoD@W_SGQOO??J?T_,5-grid embeddable,sat
MoD@W_WGQGO??J?T_,13-grid embeddable,sat
MoD@_O__?A_FFHPq?,unembeddable,unsat
MoDH?SQKAGO??J?T_,9-grid embeddable,sat
MoDHO_BKAGO??F?X_,13-grid embeddable,sat
MoDH_?@?@PgiCc_W_,21-grid embeddable,sat
MoDH_OEGQ_O??J?T_,7-grid embeddable,sat
MoDH_OQGQGO??J?T_,5-grid embeddable,sat
MoDH_oEO@?o??X?F_,9-grid embeddable,sat
MoDIc?_?@H_[EC?T_,9-grid embeddable,sat
MoDKa?_??LcKEC?T_,embeddable,sat
MoDKa?_?@H_[EC?T_,embeddable,sat
MoDPO?@?@HgYEC_W_,9-grid embeddable,sat
MoDPO?@?AHcYEC_W_,embeddable,sat
MoDPOGBKAOO??F?X_,9-grid embeddable,sat
MoDPOgIGA?o??F?X_,5-grid embeddable,sat
MoDPQA???L`KKC?T_,9-grid embeddable,sat
MoDPS???GRAIPIGd?,embeddable,sat
MoDSQ?_??L`KKC?T_,9-grid embeddable,sat
MoDX?CIKAAO??R?L_,5-grid embeddable,sat
MoE?O__O?[eE@WOo_,embeddable,sat
MoE?O__O?wcU@WOo_,embeddable,sat
MoE?PDOQ@_?_@F?x?,9-grid embeddable,sat
MoE?Q?_C?ZCUDCOo_,5-grid embeddable,sat
MoE?Q?_C?ZEE@cOo_,embeddable,sat
MoE?Q?_C?\CMDCOo_,embeddable,sat
MoE?Q?_C?xCM@cOo_,embeddable,sat
MoE?_O_O@cg[BO@K_,9-grid embeddable,sat
MoE?_O_OAdDI@c@W_,embeddable,sat
MoE?_O_OAdDI@o@K_,13-grid embeddable,sat
MoE?_P?G?l@iGcOW_,embeddable,sat
MoE?_P?G@cg[BO@K_,embeddable,sat
MoE?_P?GAdDI@c@W_,minimally unembeddable,unsat
MoE?_P?GAdDI@o@K_,embeddable,sat
MoE?q?`Q@_?_@F?x?,9-grid embeddable,sat
MoE@?OOO@EiSBO@K_,embeddable,sat
MoE@?OOO@cg[BO@K_,embeddable,sat
MoE@?OOOAEeSBO@K_,embeddable,sat
MoE@?OOOAcc[BO@K_,embeddable,sat
MoE@?_GO?icUBGOo_,embeddable,sat
MoE@?_GO?idE@gOo_,embeddable,sat
MoE@?_GO?kcMBGOo_,unembeddable,unsat
MoE@?_GO?kdE@WOo_,minimally unembeddable,unsat
MoE@?_GO?wcM@gOo_,13-grid embeddable,sat
MoE@?_GO?wcU@WOo_,13-grid embeddable,sat
MoE@A?OA?YcUDGOo_,embeddable,sat
MoE@A?OA?[cMDGOo_,13-grid embeddable,sat
MoEA??RM@A_kB@Oa_,13-grid embeddable,sat
MoEA??RM@AgHB@@g_,minimally unembeddable,unsat
MoEA??RMAA_hB@Gg_,unembeddable,unsat
MoEA??wAoi?qOQGH_,minimally unembeddable,unsat
MoEA?@PM?EcKB@@a_,13-grid embeddable,sat
MoEA?@PM?IcKA`@a_,minimally unembeddable,unsat
MoEA?@WAoi?pGSGH_,unembeddable,unsat
MoEA?@WAoi?qGQGH_,unembeddable,unsat
MoEaa?G??a`E@dGY?,embeddable,sat
MoGO??IDQACp_{UI?,unembeddable,unsat
MoGQ??bPObQ@A`BC_,embeddable,sat
MoGQ?_qQSA@a@B?i_,minimally unembeddable,unsat
MoGQ?_sOsA@aAB?i_,unembeddable,unsat
MoGQ?_wOsA@a@B?i_,unembeddable,unsat
MoGQ?`BET?@c@B?e_,unembeddable,unsat
MoGQ?acOoa@aAB?i_,unembeddable,unsat
MoGQ?b@E`A@c@B?e_,embeddable,sat
MoG[?CPOA@eA?pBA_,21-grid embeddable,sat
MoGa_KWDAOO??F?X_,5-grid embeddable,sat
MoGi__EEAAO??R?L_,7-grid embeddable,sat
MoGio_CCIAO??R?L_,13-grid embeddable,sat
MoGqO_EEAAO??R?L_,7-grid embeddable,sat
MoGqO_IDAAO??R?L_,5-grid embeddable,sat
MoGq_CHDAOO??F?X_,5-grid embeddable,sat
MoGqoGOAIAO??R?L_,5-grid embeddable,sat
MoGqo_CAIAO??R?L_,5-grid embeddable,sat
MoGyO_ACIAO??R?L_,5-grid embeddable,sat
MoGy__AAIAO??R?L_,5-grid embeddable,sat
MoH?_aPQ`A@c@B?e_,13-grid embeddable,sat
MoH?_bAEPA@a@B?i_,minimally unembeddable,unsat
MoH@_KWBA_O??F?X_,5-grid embeddable,sat
MoH@_KWDAOO??F?X_,5-grid embeddable,sat
MoH@_cKDAOO??F?X_,5-grid embeddable,sat
MoH@oGPBA_O??F?X_,5-grid embeddable,sat
MoH@o_DDAOO??F?X_,5-grid embeddable,sat
MoHG__A?OwGSGT_M?,5-grid embeddable,sat
MoHPOCPDAOO??F?X_,9-grid embeddable,sat
MoHP_CHDAOO??F?X_,5-grid embeddable,sat
MoHS?OO??khIGK?w_,5-grid embeddable,sat
MoI?O_OO@QiS@K@o_,5-grid embeddable,sat
MoI?O_OO@ahS@K@o_,13-grid embeddable,sat
MoKaGCPDAOO??F?X_,7-grid embeddable,sat
MoKa_CDDAOO??F?X_,9-grid embeddable,sat
MoKa_GEEAAO??R?L_,5-grid embeddable,sat
MoKa__D@aOO??F?X_,5-grid embeddable,sat
MoKaoGCCIAO??R?L_,5-grid embeddable,sat
MoL?_?bPOc`_?X_B_,5-grid embeddable,sat
MoL?_@BHOc`_?X_B_,unembeddable,unsat
MoL?_G@?_wCKOd_M?,embeddable,sat
MoL@GCPDAOO??F?X_,5-grid embeddable,sat
MoLO?C??HIgUEG_o_,embeddable,sat
MoLOc@?G?R?i?i?d_,minimally unembeddable,unsat
MoLS??@?AQceCc?w_,minimally unembeddable,unsat
MoM??COO?YasOKGo_,13-grid embeddable,sat
MoM??COO@QiS@K@o_,embeddable,sat
MoM??pAGa_?_@F?x?,5-grid embeddable,sat
MoM?@DOCaO?_@F?x?,5-grid embeddable,sat
MoM?@DOEAC?_@F?x?,5-grid embeddable,sat
MoM?O`AGQ_?_@F?x?,5-grid embeddable,sat
MoM?P@OCQC?_@F?x?,5-grid embeddable,sat
MoM?_DGGQ_?_@F?x?,5-grid embeddable,sat
MoM?`@@CaO?_@F?x?,5-grid embeddable,sat
MoM?`@@EAC?_@F?x?,9-grid embeddable,sat
MoM?`@ACQO?_@F?x?,9-grid embeddable,sat
MoM?`@AEAA?_@F?x?,5-grid embeddable,sat
MoM?`@GCQC?_@F?x?,5-grid embeddable,sat
MoM?`@GCaA?_@F?x?,7-grid embeddable,sat
MoM?`D?AI_?_@F?x?,5-grid embeddable,sat
MoM?`D?CIO?_@F?x?,5-grid embeddable,sat
MoM?`DGCA?__@F?x?,13-grid embeddable,sat
MoM?`P?CIC?_@F?x?,9-grid embeddable,sat
MoM?`PACA?__@F?x?,9-grid embeddable,sat
MoM?a?aEAA?_@F?x?,9-grid embeddable,sat
MoM?a?gCaA?_@F?x?,5-grid embeddable,sat
MoM?p@?CIA?_@F?x?,9-grid embeddable,sat
MoM?p@@CA?__@F?x?,5-grid embeddable,sat
MoM?q?_CIA?_@F?x?,5-grid embeddable,sat
MoMA?_B@gaDCOB@E_,unembeddable,unsat
MoMA?_B@hOAa?YOB_,unembeddable,unsat
MoMA?_BGiOAa?Y@B_,unembeddable,unsat
MoMA?_BO_adC@H@E_,minimally unembeddable,unsat
MoMA?_DOWTA_GD?b_,5-grid embeddable,sat
MoMA?_FG_ah?@H?F_,embeddable,sat
MoMA?_FGaOAa?Y?F_,embeddable,sat
MoMA?_FO_ad?@H?F_,unembeddable,unsat
MoMA?_FO`OAa?Y?F_,unembeddable,unsat
MoMA?_`OgSAa?Y@B_,unembeddable,unsat
MoO?_?SAPK?ZpWMK?,unembeddable,unsat
MoOOOGOG@sO[@SOK_,embeddable,sat
MoOO_OCG@IbQoG?w_,embeddable,sat
MoOP?_hP_g?Y_BAI_,embeddable,sat
MoO[a?_??a_UBDGY?,embeddable,sat
MoO__?ps?I`KA`@a_,embeddable,sat
MoO`__C_?A_FEhRQ?,13-grid embeddable,sat
MoO`_cKDAOO??F?X_,5-grid embeddable,sat
MoO`oGPBA_O??F?X_,7-grid embeddable,sat
MoO`o_DDAOO??F?X_,7-grid embeddable,sat
MoOpOCPBA_O??F?X_,9-grid embeddable,sat
MoOpOCPDAOO??F?X_,5-grid embeddable,sat
MoOs?_G??[iIGK?w_,17-grid embeddable,sat
MoOs?_G??khIGK?w_,5-grid embeddable,sat
MoQ?_?LM?agHG`@g_,unembeddable,unsat
MoQ?_?RM?IcKQ@@a_,unembeddable,unsat
MoQ?_?TM?QcKO`@a_,unembeddable,unsat
MoQ?_?TM?QgKG`@a_,embeddable,sat
MoQ?_?jDQA?pECGB_,5-grid embeddable,sat
MoQ?_?rBQA?pECGB_,13-grid embeddable,sat
MoQ?_?wAoi?qOQGH_,embeddable,sat
MoQ?_?wCoY?pOSGH_,embeddable,sat
MoQ?_?wCoY_oOPGH_,13-grid embeddable,sat
MoQ?_@BM?a_hB@Gg_,unembeddable,unsat
MoQ?_@HM?a_h@`Gg_,unembeddable,unsat
MoQ?_@PM?IcKA`@a_,unembeddable,unsat
MoQ?_@WAoi?qGQGH_,unembeddable,unsat
MoQ?_@WCoY?pGSGH_,unembeddable,unsat
MoQ@?_GC?ZEE@cOo_,25-grid embeddable,sat
MoQ@?_GC?[eE@WOo_,13-grid embeddable,sat
MoQ@?_GC?jDE@cOo_,21-grid embeddable,sat
MoQ@?_GC?kdE@WOo_,25-grid embeddable,sat
MoQ@?_GC?wcU@WOo_,13-grid embeddable,sat
MoS?GcgKAGO??Z@d?,9-grid embeddable,sat
MoS?_KgKAGO?@F?x?,13-grid embeddable,sat
MoS?_cgHAGO??Z@d?,9-grid embeddable,sat
MoS?g_gGQGO??V@h?,13-grid embeddable,sat
MoS?g_gGQGO??Z@d?,7-grid embeddable,sat
MoSG?ccKACO?@F?x?,7-grid embeddable,sat
MoSG?ccKACO?@X?f?,5-grid embeddable,sat
MoSGG_`O`_O?@b?\?,5-grid embeddable,sat
MoSGG_aKAAO?@F?x?,7-grid embeddable,sat
MoSGG_aOP_O?@b?\?,5-grid embeddable,sat
MoSGG_oO`AO?@R?l?,5-grid embeddable,sat
MoSGGc_KA@O?@F?x?,9-grid embeddable,sat
MoSGGc_OH_O?@b?\?,5-grid embeddable,sat
MoSG__cGQCO?@X?f?,5-grid embeddable,sat
MoSG__cOPCO?@R?l?,5-grid embeddable,sat
MoSG__cOPCO?@X?f?,7-grid embeddable,sat
MoSG__cO`AO?@R?l?,5-grid embeddable,sat
MoSG_ccGA?o?@X?f?,5-grid embeddable,sat
MoSG_ccO@?o?@R?l?,7-grid embeddable,sat
MoSO?LGK@CO?@J?t?,5-grid embeddable,sat
MoSO?cgGaGO??Z@d?,7-grid embeddable,sat
MoSO_CgGQGO?@F?x?,9-grid embeddable,sat
MoSO_HGGPCO??t@J?,13-grid embeddable,sat
MoSO_HGGPCO?@R?l?,5-grid embeddable,sat
MoSSI?_??LcKEC?T_,embeddable,sat
MoSSI?_?@H_[EC?T_,13-grid embeddable,sat
MoSU?G_??LcKEC?T_,embeddable,sat
MoSU?G_??o_U@TGY?,embeddable,sat
MoSU?G_?@H_[EC?T_,embeddable,sat
MoSW?CoGQCO?@F?x?,5-grid embeddable,sat
MoSW?CoO`AO?@R?l?,5-grid embeddable,sat
MoSW?_aGQCO?@F?x?,9-grid embeddable,sat
MoSW?c_GICO?@F?x?,5-grid embeddable,sat
MoSW_?aOPAO?@R?l?,5-grid embeddable,sat
MoSW_C_GQ@O?@F?x?,7-grid embeddable,sat
MoSW_C_OHAO?@R?l?,5-grid embeddable,sat
MoS_G_A?Pa@aOi_L?,13-grid embeddable,sat
MoS`GCPDAOO??F?X_,13-grid embeddable,sat
MoS`_CDDAOO??F?X_,5-grid embeddable,sat
MoSc?GO??khIGK?w_,minimally unembeddable,unsat
MoSc?_C?@ageAc?w_,embeddable,sat
MoSo?C??HIgUEG_o_,embeddable,sat
MoSpC@???c_eAT?y?,9-grid embeddable,sat
MoSs??@?AQceCc?w_,13-grid embeddable,sat
MoSsA?_??c`E@T?y?,9-grid embeddable,sat
MoU??COGADeWBC@W_,13-grid embeddable,sat
MoU??C_C?ZCUDCOo_,embeddable,sat
MoU??_AGADeWBC@W_,embeddable,sat
MoU??__?_[eE@WOo_,embeddable,sat
MoU??__?_idE@gOo_,embeddable,sat
MoU??__?_kdE@WOo_,embeddable,sat
MoU??__?_wcM@gOo_,5-grid embeddable,sat
MoU??__?_wcU@WOo_,embeddable,sat
MoU??__?aDeWBC@W_,minimally unembeddable,unsat
MoU?@?O?aDeWBC@W_,5-grid embeddable,sat
MoU?_?@GADeWBC@W_,embeddable,sat
MoU@??@C?ZCUDCOo_,minimally unembeddable,unsat
MoU@??@C?ZEE@cOo_,minimally unembeddable,unsat
MoU@??@C?\CMDCOo_,minimally unembeddable,unsat
MoU@??@C?\EE@SOo_,9-grid embeddable,sat
MoU@??@C?xCM@cOo_,embeddable,sat
MoU@??@C?xCU@SOo_,embeddable,sat
MoU@?_??G[eE@WOo_,17-grid embeddable,sat
MoU@?_??GidE@gOo_,embeddable,sat
MoU@?_??GkdE@WOo_,embeddable,sat
MoU@?_??GwcM@gOo_,embeddable,sat
MoU@?_??GwcU@WOo_,13-grid embeddable,sat
ModA_G_?@H_[EC?T_,21-grid embeddable,sat
ModA`?C??o_e?tGY?,unembeddable,unsat
Mp??O?WOoICpaYTK?,unembeddable,unsat
Mp?G??IDQACp_{UI?,embeddable,sat
Mp?I?AK@pQAQOQCH_,unembeddable,unsat
Mp?I?AK@pQGPCSCH_,unembeddable,unsat
Mp?I?BGApI?pCSCH_,minimally unembeddable,unsat
Mp?I?BGBPE?pCSCH_,unembeddable,unsat
Mp?[?CGO?TgaKO?X_,embeddable,sat
Mp?[?CGO?[gEKO?X_,9-grid embeddable,sat
Mp@?O?dF?Q_[C`oA_,unembeddable,unsat
MpA?O_GO?[eE@WOo_,embeddable,sat
MpA?O_GO?kdE@WOo_,13-grid embeddable,sat
MpAI?OO??pg[@cGS_,13-grid embeddable,sat
MpC?I?G@GA?PgNVo?,minimally unembeddable,unsat
MpC?OG`??D_iUDpa?,unembeddable,unsat
MpCGCCEOA`cAB@?p_,5-grid embeddable,sat
MpCG`@??OC_kQM`b?,unembeddable,unsat
MpCI??X`@AGP?{@F?,unembeddable,unsat
MpCIIA???L`KKC?T_,13-grid embeddable,sat
MpCKA?A@?FeABGOP_,embeddable,sat
MpCKA?C?_FbAHGOP_,embeddable,sat
MpCKI???HBaQBGOP_,5-grid embeddable,sat
MpCqAA?A?I`Q?h?Y_,embeddable,sat
MpD???ZPPKP??b?T_,embeddable,sat
MpD??AI@oqg_GP?h_,embeddable,sat
MpD?GO??GwoUOWGo_,13-grid embeddable,sat
MpD?GO??IooU@oGW_,embeddable,sat
MpD?O@BHOKb??X_B_,unembeddable,unsat
MpD?O@DGoKb??X_B_,unembeddable,unsat
MpD?OGbDAOOQ?Y?F_,embeddable,sat
MpDAGQ???X_[KC?T_,minimally unembeddable,unsat
MpDI?E???T_kKC?T_,embeddable,sat
MpE??CGO?icUBGOo_,embeddable,sat
MpE??OAO@EiSBO@K_,5-grid embeddable,sat
MpE??OAO@cg[BO@K_,13-grid embeddable,sat
MpE??OAOAEeSBO@K_,13-grid embeddable,sat
MpE??OAOAcc[BO@K_,minimally unembeddable,unsat
MpE?A?G?_icUBGOo_,5-grid embeddable,sat
MpE?A?G?_kcMBGOo_,embeddable,sat
MpE?A?G?_wcM@gOo_,13-grid embeddable,sat
MpE?Q???GYcUDGOo_,embeddable,sat
MpE?Q???GYeE@gOo_,embeddable,sat
